stratum,area,areapost,transect,effort,legid,r,size,pos,side,seen,sighting,sfrac,y,bss,cloud,sight,obs,dives,Etype,cuerate,plat
4,12392,12357,4087,0.184444444,107,0.069,1,R,R,1,246,0.5,88,2,0,2,K,1,SD,53,2
4,12392,12357,4087,0.184444444,107,9999,9999,F,L,0,247,0.5,9999,2,0,2,P,9999,SD,53,1
4,12392,12357,4087,0.184444444,107,0.307,1,R,L,1,247,0.5,569,2,0,2,H,1,SD,53,2
4,12392,12357,4088,0.136666667,107,9999,9999,F,R,0,248,0.5,9999,2,1,3,X,9999,SD,53,1
4,12392,12357,4088,0.136666667,107,0.296,1,R,R,1,248,0.5,550,2,1,3,K,1,SD,53,2
4,12392,12357,4088,0.136666667,107,9999,9999,F,L,0,250,0.5,9999,2,1,3,P,9999,SD,53,1
4,12392,12357,4088,0.136666667,107,0.083,1,R,L,1,250,0.5,0,2,1,3,H,1,SD,53,2
4,12392,12357,4088,0.136666667,107,9999,9999,F,R,0,251,0.5,9999,2,1,3,X,9999,SD,53,1
4,12392,12357,4088,0.136666667,107,0.198,1,R,R,1,251,0.5,367,2,1,3,K,1,SD,53,2
4,12392,12357,4089,0.086111111,107,9999,9999,9999,9999,9999,9999,0.5,9999,2,8,3,9999,9999,SD,53,0
4,12392,12357,4090,0.093611111,108,9999,9999,9999,9999,9999,9999,0.5,9999,1,0,1,9999,9999,SD,53,0
4,12392,12357,4091,0.215277778,108,0.295,1,F,L,1,252,0.5,103,2,9,2,P,1,SD,53,1
4,12392,12357,4091,0.215277778,108,0.487,1,R,L,1,252,0.5,647,2,9,2,K,1,SD,53,2
4,12392,12357,4092,0.149722222,108,9999,9999,9999,9999,9999,9999,0.5,9999,2,0,1,9999,9999,SD,53,0
4,12392,12357,4093,0.167222222,108,9999,9999,9999,9999,9999,9999,0.5,9999,2,0,2,9999,9999,SD,53,0
4,12392,12357,4094,0.125833333,108,9999,9999,9999,9999,9999,9999,0.5,9999,3,9,2,9999,9999,SD,53,0
4,12392,12357,4095,0.223055556,108,9999,9999,F,R,0,255,0.5,9999,3,0,2,X,9999,SD,53,1
4,12392,12357,4095,0.223055556,108,0.318,1,R,R,1,255,0.5,543,3,0,2,H,1,SD,53,2
4,12392,12357,4095,0.223055556,108,9999,9999,F,L,0,256,0.5,9999,3,0,2,P,9999,SD,53,1
4,12392,12357,4095,0.223055556,108,0.232,1,R,L,1,256,0.5,42,3,0,2,K,1,SD,53,2
4,12392,12357,4096,0.393888889,109,9999,9999,F,L,0,274,0.5,9999,1,9,1,P,9999,SD,53,1
4,12392,12357,4096,0.393888889,109,0.652,1,R,L,1,274,0.5,1206,1,9,1,H,1,SD,53,2
4,12392,12357,4097,0.3675,109,9999,9999,9999,9999,9999,9999,0.5,9999,2,9,1,9999,9999,SD,53,0
4,12392,12357,4098,0.1425,110,9999,9999,9999,9999,9999,9999,0.5,9999,1,0,2,9999,9999,SD,53,0
4,12392,12357,4099,0.189722222,110,9999,9999,9999,9999,9999,9999,0.5,9999,2,0,2,9999,9999,SD,53,0
4,12392,12357,4100,0.225,110,9999,9999,9999,9999,9999,9999,0.5,9999,2,0,2,9999,9999,SD,53,0
4,12392,12357,4101,0.203611111,110,9999,9999,9999,9999,9999,9999,0.5,9999,3,0,2,9999,9999,SD,53,0
4,12392,12357,4102,0.027777778,110,9999,9999,9999,9999,9999,9999,0.5,9999,3,0,2,9999,9999,SD,53,0
4,12392,12357,4103,0.132777778,111,9999,9999,9999,9999,9999,9999,0.5,9999,1,9,2,9999,9999,SD,53,0
